N,M,P,epoch,dstsp,dh,fixed_points,max_eigenvalues,max_lyapunov_exponent,unique_regions,frequencies
4,12,3,0,nan,0.65150064,"[[0.02669607475399971, 0.021666858345270157, 0.00354199530556798, 0.015877526253461838, 0.001352881547063589, -0.010565281845629215, -0.0018184743821620941, 0.005218239966779947, -0.016179069876670837, -0.007766086142510176, 0.016650622710585594, -0.0013751547085121274], [0.03822704404592514, 0.029489878565073013, 0.00022169691510498524, 0.02381187118589878, 0.006526868790388107, -0.008213119581341743, 0.008553157560527325, 0.00769160408526659, -0.01823464408516884, -0.0024544456973671913, 0.02647782675921917, -0.00029481155797839165], [0.03735670819878578, 0.029094476252794266, -0.00044341711327433586, 0.0236197616904974, 0.0065670921467244625, -0.008463455364108086, 0.008032216690480709, 0.007680981419980526, -0.017055630683898926, -0.0020203478634357452, 0.025868607684969902, -0.0006231152219697833]]","[0.6662244200706482, 0.7377225160598755, 0.7796294689178467]",-0.25389197528362273,"[[1, 0, 0], [1, 1, 0], [0, 1, 0]]","[2, 9, 1989]"
4,12,3,5,14.110321044921875,0.4884749,"[[0.4287042021751404, 0.3448042571544647, 0.42154043912887573, 0.41186732053756714, 0.36284342408180237, 0.022071421146392822, 0.5609209537506104, 0.04752815514802933, -0.288865327835083, -0.15138018131256104, 0.46671491861343384, 0.2330813705921173], [0.3550211191177368, 0.3068150281906128, 0.31403350830078125, 0.3599935472011566, 0.33101731538772583, -0.000729784369468689, 0.4630388617515564, 0.05186564475297928, -0.19845613837242126, -0.10640343278646469, 0.3945489823818207, 0.2049643099308014]]","[0.9237188696861267, 0.919509768486023]",-0.08744381122291088,"[[1, 1, 1], [0, 1, 1]]","[3, 1997]"
4,12,3,10,14.106822967529297,0.123563305,"[[0.4664192199707031, 0.17273297905921936, 0.273030549287796, 0.4639752209186554, -0.0169752836227417, -0.15584692358970642, 0.3529195189476013, 0.13962936401367188, -0.4610479176044464, -0.052389174699783325, 0.44185519218444824, 0.15097087621688843], [1.0467758178710938, 0.037117645144462585, -0.1247025728225708, 1.0182650089263916, -0.6121283769607544, -0.5940160751342773, 0.3741222023963928, 0.42211848497390747, -0.9269862174987793, 0.24889087677001953, 0.6918092966079712, -0.36801934242248535], [0.34090298414230347, 0.3199305534362793, 0.3401030898094177, 0.3319730758666992, 0.26773619651794434, 0.0019347667694091797, 0.34356313943862915, 0.10152718424797058, -0.20199346542358398, -0.14874273538589478, 0.40935611724853516, 0.38320255279541016]]","[0.9593289494514465, 1.0085605382919312, 0.9615694880485535]",-0.018090677930085803,"[[1, 1, 1], [1, 1, 0], [0, 1, 1]]","[11, 31, 1958]"
4,12,3,15,9.975727081298828,0.18763798,"[[-0.23933100700378418, 0.19748714566230774, 1.705735445022583, 0.48969340324401855, 0.485632061958313, 0.2757924795150757, 0.9799314737319946, -0.13023406267166138, -0.7085613012313843, -0.6754560470581055, 0.5997930765151978, 0.7538903951644897], [0.33463573455810547, 0.3365586996078491, 0.33314990997314453, 0.33986741304397583, 0.2654503583908081, -0.0144081711769104, 0.25457441806793213, 0.11890064179897308, -0.18505895137786865, -0.2033335566520691, 0.3735077977180481, 0.47165369987487793], [0.828689455986023, 0.053034812211990356, -0.14277726411819458, 0.7922990918159485, -0.46156933903694153, -0.49302244186401367, 0.2765830159187317, 0.29019424319267273, -0.8301416635513306, 0.06412601470947266, 0.5099849700927734, -0.10927306115627289], [0.800674319267273, 0.021959325298666954, -0.033284991979599, 0.8346307277679443, -0.4831967353820801, -0.49264007806777954, 0.3509199619293213, 0.27543482184410095, -0.9216898679733276, 0.032713860273361206, 0.5409821271896362, -0.11585478484630585]]","[0.9863187670707703, 1.0038039684295654, 1.0230331420898438, 1.0351707935333252]",0.013465683702379464,"[[1, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 0]]","[15, 152, 1807, 26]"
4,12,3,20,12.532979011535645,0.020805359,"[[-0.10398471355438232, 0.006210342049598694, 1.044844627380371, 0.6858097314834595, 0.07054376602172852, -0.07523488998413086, 0.807759702205658, -0.0817115306854248, -0.8119537234306335, -0.3688530921936035, 0.4070224165916443, 0.21511369943618774], [0.335917204618454, 0.3340882658958435, 0.33290553092956543, 0.3388996720314026, 0.24492311477661133, -0.030456364154815674, 0.21888533234596252, 0.11556383967399597, -0.1807575225830078, -0.20302140712738037, 0.3435775339603424, 0.4460459351539612], [1.3626973628997803, 0.09213283658027649, -0.7063872814178467, 0.7933605909347534, -0.6608636975288391, -0.6186640858650208, -0.018503785133361816, 0.4891873598098755, -0.6787755489349365, 0.24622434377670288, 0.49875712394714355, -0.17374205589294434], [0.8807481527328491, -0.008379511535167694, -0.08626952767372131, 0.8487345576286316, -0.5147284269332886, -0.48980244994163513, 0.33460110425949097, 0.2953595519065857, -0.8639932870864868, 0.04857243597507477, 0.49037492275238037, -0.1291179358959198]]","[0.9833106994628906, 1.0021883249282837, 1.0076215267181396, 1.0299574136734009]",-0.003679395051440224,"[[1, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 0]]","[81, 1340, 348, 231]"
4,12,3,25,12.630358695983887,0.016123112,"[[-0.019287467002868652, -0.029214531183242798, 0.8021848201751709, 0.7131301164627075, -0.02622532844543457, -0.1557210385799408, 0.7121034264564514, -0.04884767532348633, -0.7673434019088745, -0.27076542377471924, 0.3342088460922241, 0.0933464765548706], [0.33123382925987244, 0.3362084627151489, 0.3365817666053772, 0.334067165851593, 0.24072480201721191, -0.034552812576293945, 0.19104315340518951, 0.11282636970281601, -0.16739428043365479, -0.19997841119766235, 0.3213273882865906, 0.43465709686279297], [-6.915380477905273, -0.7661752700805664, 7.718626022338867, 0.509981095790863, 2.82260799407959, 1.8290691375732422, 4.383370399475098, -2.760662078857422, -1.4602209329605103, -2.5819787979125977, -0.5309622287750244, 0.9046258926391602], [0.932980477809906, -0.030970759689807892, -0.11689350008964539, 0.8640925884246826, -0.5495848059654236, -0.49988746643066406, 0.31071460247039795, 0.31809771060943604, -0.8499219417572021, 0.06312298774719238, 0.4716256856918335, -0.13943201303482056]]","[0.9797223210334778, 1.0010356903076172, 0.9991469383239746, 1.0274004936218262]",-0.0032570573578414043,"[[1, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 0]]","[85, 1546, 158, 211]"
4,12,3,30,12.308504104614258,0.021833044,"[[0.03505754470825195, -0.047956228256225586, 0.6885688304901123, 0.7131050825119019, -0.07346165180206299, -0.1890580654144287, 0.6452904343605042, -0.023290932178497314, -0.7380922436714172, -0.22848722338676453, 0.30295008420944214, 0.05311867594718933], [0.33452481031417847, 0.33358311653137207, 0.33313482999801636, 0.335607647895813, 0.22965693473815918, -0.04225742816925049, 0.17131474614143372, 0.11317642033100128, -0.1653512716293335, -0.19180113077163696, 0.3078542649745941, 0.42125779390335083], [-0.6717345714569092, -0.14620360732078552, 1.3407936096191406, 0.6973490715026855, 0.1907740831375122, -0.006909728050231934, 1.0074628591537476, -0.2999659776687622, -0.8081364035606384, -0.44250524044036865, 0.19393503665924072, 0.09745103120803833], [0.9501328468322754, -0.04063011705875397, -0.1279667317867279, 0.8689867258071899, -0.5619441270828247, -0.5038705468177795, 0.28942686319351196, 0.3281315565109253, -0.8389238119125366, 0.06764054298400879, 0.4586500823497772, -0.1407298445701599]]","[0.9771847128868103, 1.0004526376724243, 0.9948874711990356, 1.0265017747879028]",-0.008698283053090563,"[[1, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 0]]","[68, 1664, 76, 192]"
4,12,3,35,12.661404609680176,0.019544266,"[[0.040897369384765625, -0.06347871571779251, 0.6572153568267822, 0.7131599187850952, -0.09119987487792969, -0.19939067959785461, 0.6189590692520142, -0.015247702598571777, -0.7280927300453186, -0.2177731990814209, 0.2858755588531494, 0.04300577938556671], [0.33503276109695435, 0.33301740884780884, 0.3324047327041626, 0.33558231592178345, 0.22442734241485596, -0.04610395431518555, 0.15786725282669067, 0.11327114701271057, -0.16272473335266113, -0.18605849146842957, 0.2991373836994171, 0.41594505310058594], [-0.3968939781188965, -0.13455036282539368, 1.0449683666229248, 0.7044230699539185, 0.06221818923950195, -0.09253931045532227, 0.8381520509719849, -0.1846104860305786, -0.7717821002006531, -0.3446633219718933, 0.21262255311012268, 0.06024228036403656], [0.9707937240600586, -0.04870679974555969, -0.14128905534744263, 0.8814572095870972, -0.58057701587677, -0.514244019985199, 0.2759309709072113, 0.3387371301651001, -0.8446121215820312, 0.0726572722196579, 0.4555099606513977, -0.1437639594078064]]","[0.976187527179718, 1.00028657913208, 0.9930967688560486, 1.0262818336486816]",-0.006390306198445614,"[[1, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 0]]","[70, 1705, 48, 177]"
4,12,3,40,12.84210205078125,0.015542249,"[[0.0338824987411499, -0.07740840315818787, 0.6488180160522461, 0.713129997253418, -0.10016113519668579, -0.20307695865631104, 0.6069867610931396, -0.013027727603912354, -0.7242076992988586, -0.21550649404525757, 0.27411144971847534, 0.03954412043094635], [0.3315091133117676, 0.3352508544921875, 0.3354855179786682, 0.3324984312057495, 0.2259749174118042, -0.04554253816604614, 0.148494154214859, 0.11218205094337463, -0.15679693222045898, -0.18401187658309937, 0.292718768119812, 0.4166560769081116], [-0.33395910263061523, -0.14293116331100464, 0.9665935039520264, 0.7052911520004272, 0.023735523223876953, -0.11574482917785645, 0.7874125242233276, -0.15364491939544678, -0.7603665590286255, -0.31984102725982666, 0.20977915823459625, 0.05085085332393646], [0.9833078980445862, -0.05586087331175804, -0.14831691980361938, 0.8921486735343933, -0.594903826713562, -0.5221230983734131, 0.26952388882637024, 0.34522444009780884, -0.8516988158226013, 0.0755050778388977, 0.4538813829421997, -0.14813250303268433]]","[0.9750857353210449, 1.0003713369369507, 0.9923246502876282, 1.0263656377792358]",-0.005316050131514202,"[[1, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 0]]","[90, 1678, 63, 169]"
4,12,3,45,12.833200454711914,0.011743316,"[[0.030439376831054688, -0.08699792623519897, 0.6435999870300293, 0.7137269377708435, -0.10653853416442871, -0.2056027054786682, 0.5990673899650574, -0.010643541812896729, -0.7224740982055664, -0.21458953619003296, 0.26736944913864136, 0.039202526211738586], [0.33055785298347473, 0.33591389656066895, 0.3360658288002014, 0.3313359022140503, 0.22492289543151855, -0.046339213848114014, 0.14245310425758362, 0.11188626289367676, -0.1545628309249878, -0.182205468416214, 0.28879618644714355, 0.41579192876815796], [-0.3233318328857422, -0.1544055938720703, 0.9450535774230957, 0.7067490816116333, 0.009010672569274902, -0.1232367753982544, 0.7709602117538452, -0.14445340633392334, -0.7577973008155823, -0.31385624408721924, 0.20427590608596802, 0.048476532101631165], [0.992540717124939, -0.0590064637362957, -0.15422090888023376, 0.8976227045059204, -0.603188157081604, -0.5269181728363037, 0.2635912299156189, 0.34943312406539917, -0.8548799753189087, 0.07738417387008667, 0.45258796215057373, -0.14930054545402527]]","[0.9749566316604614, 1.0002915859222412, 0.9920191764831543, 1.0264537334442139]",-0.005487000042785439,"[[1, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 0]]","[92, 1696, 51, 161]"
