N,M,P,epoch,dstsp,dh,fixed_points,max_eigenvalues,max_lyapunov_exponent,unique_regions,frequencies
4,12,3,0,8.264612197875977,0.7578368,"[[0.04196393862366676, 0.039620064198970795, 0.010408800095319748, 0.04404759407043457, -0.03961171582341194, -0.02103208377957344, -0.026867203414440155, 0.03243545442819595, 0.03808519244194031, -0.02101888880133629, 0.06432580202817917, -0.05266369879245758], [0.01676802895963192, 0.04014015197753906, 0.0022095656022429466, 0.053128596395254135, -0.0704316571354866, -0.03483927994966507, -0.02749653533101082, 0.0377330556511879, 0.08452823758125305, -0.030953485518693924, 0.041930995881557465, -0.054770782589912415]]","[0.8749740719795227, 0.8983637094497681]",-0.11352797951549291,"[[0, 1, 1], [0, 1, 0]]","[1, 1999]"
4,12,3,5,13.661270141601562,0.1353266,"[[1.5051478147506714, -0.48309069871902466, 1.278359055519104, -0.7700067758560181, 0.733001708984375, -0.35001736879348755, -0.22058144211769104, -0.28799569606781006, -1.5327156782150269, -0.17640644311904907, 0.6143264770507812, -0.20922298729419708], [0.38916265964508057, 0.2921302914619446, 0.36419928073883057, 0.3164474368095398, -0.5089606046676636, -0.5009700655937195, -0.3347946107387543, 0.31515926122665405, 0.3805868625640869, -0.4054153561592102, 0.5630074739456177, -0.4801119565963745]]","[0.9733712673187256, 0.9866775274276733]",-0.022274413304403426,"[[0, 1, 1], [0, 1, 0]]","[1, 1999]"
4,12,3,10,13.661273956298828,0.23808774,"[[1.494782567024231, 0.9647082090377808, 1.5505082607269287, -1.257865309715271, 2.1292099952697754, 0.42984434962272644, -1.136924386024475, -0.5312789678573608, -1.6779212951660156, -0.42468658089637756, 1.147212266921997, -0.3488754630088806], [0.3298832178115845, 0.41128551959991455, 0.367495059967041, 0.2750888466835022, -0.37388354539871216, -0.42892488837242126, -0.3576645255088806, 0.2691495716571808, 0.28013840317726135, -0.42994365096092224, 0.4961347281932831, -0.4186241626739502]]","[0.9895569086074829, 0.9874666333198547]",-0.013167367838323117,"[[0, 1, 1], [0, 1, 0]]","[1, 1999]"
4,12,3,15,13.661251068115234,0.09846706,"[[1.5277221202850342, -0.3717195987701416, 0.3301110863685608, 0.25313621759414673, -0.5840032696723938, -0.4472354054450989, 0.2344375103712082, -0.014196936041116714, -0.019706029444932938, 0.032873380929231644, 0.023064982146024704, -0.10062996298074722], [0.4188454747200012, 0.3305633068084717, 0.3032306432723999, 0.3207760751247406, -0.42185452580451965, -0.39461463689804077, -0.2168283462524414, 0.21708354353904724, 0.292847216129303, -0.29750558733940125, 0.34547415375709534, -0.07655294984579086]]","[0.9915200471878052, 0.9975470304489136]",-0.001431389573699562,"[[0, 1, 1], [0, 1, 0]]","[3, 1997]"
4,12,3,20,13.661247253417969,0.088442735,"[[0.5921128988265991, 0.19849735498428345, 0.3466114401817322, 0.29220110177993774, -0.41755563020706177, -0.3988468050956726, -0.14551080763339996, 0.16604605317115784, 0.23861676454544067, -0.17958511412143707, 0.28354164958000183, 0.032538462430238724]]",[0.9941539764404297],-0.00274920803918576,"[[0, 1, 1]]",[2000]
4,12,3,25,13.661232948303223,0.09797822,"[[0.583013653755188, 0.16590940952301025, 0.3404282033443451, 0.3563656210899353, -0.5011430382728577, -0.4490893483161926, -0.12847918272018433, 0.2030632495880127, 0.2917199432849884, -0.10230433940887451, 0.2840970754623413, 0.042823515832424164]]",[0.9958733320236206],-8.415207921643742e-06,"[[0, 1, 1]]",[2000]
4,12,3,30,13.661239624023438,0.10071951,"[[0.4687824249267578, 0.19873705506324768, 0.31019842624664307, 0.36173152923583984, -0.4807314872741699, -0.4272109866142273, -0.13701678812503815, 0.2063274383544922, 0.3063098192214966, -0.11259163916110992, 0.2683519721031189, 0.05544272065162659]]",[0.996190071105957],0.0011982560939577524,"[[0, 1, 1]]",[2000]
4,12,3,35,13.581453323364258,0.09087804,"[[0.5487926602363586, 0.10286197066307068, 0.48795461654663086, 0.28942641615867615, -0.4140538275241852, -0.44070684909820557, -0.16354584693908691, 0.20718899369239807, 0.25904667377471924, -0.03342162072658539, 0.35494500398635864, 0.08066172152757645], [0.5335524678230286, 0.05284358561038971, 0.6226021647453308, 0.2677847146987915, -0.40130165219306946, -0.47573232650756836, -0.1951158046722412, 0.24219198524951935, 0.26264363527297974, -0.019494205713272095, 0.4388718903064728, 0.1030922532081604]]","[0.9972063899040222, 0.9923040270805359]",-0.0009996804167531081,"[[0, 1, 1], [1, 1, 1]]","[1801, 199]"
4,12,3,40,13.661216735839844,0.10255544,"[[0.43016454577445984, 0.24326872825622559, 0.46271947026252747, 0.3394906520843506, -0.42445918917655945, -0.4433797001838684, -0.2057742178440094, 0.22585225105285645, 0.3183123767375946, -0.09416816383600235, 0.3626554608345032, 0.09825064986944199]]",[0.9999838471412659],0.0015154363815963734,"[[0, 1, 1]]",[2000]
4,12,3,45,13.661223411560059,0.10291128,"[[1.097033143043518, -0.08339494466781616, -0.3804103136062622, 0.3459041714668274, -0.5714012384414673, -0.25886887311935425, 0.22496816515922546, -0.05895030498504639, 0.049752287566661835, 0.15655121207237244, -0.27173465490341187, -0.1348472237586975], [0.42535075545310974, 0.28144142031669617, 0.49922698736190796, 0.3382904827594757, -0.4063699245452881, -0.4441673159599304, -0.22717036306858063, 0.22670572996139526, 0.32277315855026245, -0.10075335949659348, 0.3840442895889282, 0.10897848010063171]]","[1.0033354759216309, 0.9996447563171387]",0.001412427578597999,"[[1, 1, 1], [0, 1, 1]]","[1, 1999]"
