N,M,P,epoch,dstsp,dh,fixed_points,max_eigenvalues,max_lyapunov_exponent,unique_regions,frequencies
4,12,3,50,4.063141345977783,0.0077391923,"[[0.294199675321579, 0.5722044706344604, 0.39685940742492676, 0.06466791033744812, 0.11945517361164093, -0.04979414865374565, -0.08637352287769318, 0.16369666159152985, 0.11471963673830032, -0.06458336859941483, 0.2275741696357727, 0.5255928039550781], [0.3344651758670807, 0.3317086398601532, 0.331707239151001, 0.33489713072776794, 0.4264217019081116, 0.11366892606019974, -0.19319014251232147, 0.008904725313186646, 0.11909278482198715, -0.2313515543937683, 0.18436166644096375, 0.38209637999534607], [0.29705968499183655, -0.19955338537693024, 0.3175831735134125, 0.7055094838142395, 0.7981998324394226, 0.33756712079048157, -0.321974515914917, -0.1472746729850769, 0.10351438075304031, -0.4981042742729187, 0.022795725613832474, 0.24701809883117676]]","[1.00962495803833, 0.9999032020568848, 0.9642812609672546]",-0.005356914358708309,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[52, 1903, 45]"
4,12,3,55,12.822409629821777,0.015126546,"[[0.2970607578754425, 0.5746256709098816, 0.3955340087413788, 0.06292547285556793, 0.117925725877285, -0.05070618540048599, -0.08631374686956406, 0.1633681356906891, 0.11493532359600067, -0.06531932950019836, 0.22811943292617798, 0.5271763205528259], [0.3329712748527527, 0.33360007405281067, 0.3337381184101105, 0.33248448371887207, 0.424875944852829, 0.11199239641427994, -0.19147935509681702, 0.011258751153945923, 0.11871443688869476, -0.23214715719223022, 0.18551361560821533, 0.385701984167099], [0.29214659333229065, -0.20200487971305847, 0.32210877537727356, 0.7058931589126587, 0.798051655292511, 0.3363858759403229, -0.3201245069503784, -0.14498205482959747, 0.10268241167068481, -0.4999232590198517, 0.023206563666462898, 0.250253826379776]]","[1.0095797777175903, 1.0000126361846924, 0.9644666314125061]",-0.009140325536718593,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[193, 1661, 146]"
4,12,3,60,12.822408676147461,0.013891634,"[[0.2985421121120453, 0.5765557885169983, 0.3935765027999878, 0.0624781996011734, 0.11826110631227493, -0.05117972940206528, -0.08659254014492035, 0.16275177896022797, 0.1152215301990509, -0.06598268449306488, 0.22847314178943634, 0.5282306671142578], [0.3334720730781555, 0.3336033821105957, 0.33301180601119995, 0.33323222398757935, 0.42595207691192627, 0.11200843751430511, -0.1915527582168579, 0.010489434003829956, 0.1186455637216568, -0.2335301786661148, 0.1859835684299469, 0.3862849771976471], [0.2940843999385834, -0.20049092173576355, 0.32195207476615906, 0.7062846422195435, 0.7962293028831482, 0.33535343408584595, -0.3199356198310852, -0.1467539370059967, 0.10263247787952423, -0.4996557831764221, 0.02474871091544628, 0.24972443282604218]]","[1.0095022916793823, 1.0000194311141968, 0.9644855260848999]",-0.009808044392848388,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[180, 1679, 141]"
4,12,3,65,4.520343780517578,0.0058717453,"[[0.29831957817077637, 0.5782432556152344, 0.3945968449115753, 0.06052879989147186, 0.11747170984745026, -0.052166663110256195, -0.08579021692276001, 0.16433283686637878, 0.1151205375790596, -0.06641001999378204, 0.228974848985672, 0.5306518077850342], [0.33369672298431396, 0.3327081799507141, 0.33237841725349426, 0.33322015404701233, 0.42584580183029175, 0.11178788542747498, -0.19107915461063385, 0.01007014513015747, 0.11823689937591553, -0.23447568714618683, 0.18603664636611938, 0.38618433475494385], [0.29784369468688965, -0.1965949833393097, 0.31762292981147766, 0.7044790387153625, 0.7912256121635437, 0.33303701877593994, -0.3190852403640747, -0.14968928694725037, 0.10246612876653671, -0.49689528346061707, 0.026504114270210266, 0.2464509904384613]]","[1.0092110633850098, 0.9998874664306641, 0.9643818736076355]",-0.005280850892013404,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[30, 1934, 36]"
4,12,3,70,10.579846382141113,0.00750529,"[[0.29939401149749756, 0.5805201530456543, 0.39425209164619446, 0.05979415774345398, 0.11760967969894409, -0.05286525934934616, -0.08577319979667664, 0.16469529271125793, 0.11532168090343475, -0.06676089763641357, 0.22959525883197784, 0.532634973526001], [0.33316925168037415, 0.3341914415359497, 0.33347728848457336, 0.3323928415775299, 0.4257568120956421, 0.11084529757499695, -0.19035214185714722, 0.011324957013130188, 0.1180676594376564, -0.23488931357860565, 0.18685436248779297, 0.3886086344718933], [0.29697856307029724, -0.19757325947284698, 0.3194344639778137, 0.7053549885749817, 0.7913658618927002, 0.33254382014274597, -0.31857845187187195, -0.14940644800662994, 0.1020500585436821, -0.49775248765945435, 0.027034148573875427, 0.24752770364284515]]","[1.0092390775680542, 0.999951958656311, 0.9644554257392883]",-0.005191262426378671,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[58, 1891, 51]"
4,12,3,75,11.159273147583008,0.0063954475,"[[0.30136844515800476, 0.5811071395874023, 0.3927896022796631, 0.05966584384441376, 0.11754496395587921, -0.05302180349826813, -0.08609142154455185, 0.16381359100341797, 0.11538097262382507, -0.06739265471696854, 0.22961997985839844, 0.5325813293457031], [0.33417248725891113, 0.3327842950820923, 0.3324233591556549, 0.33386898040771484, 0.42725059390068054, 0.11143103986978531, -0.1907472014427185, 0.010046765208244324, 0.11786875128746033, -0.23647218942642212, 0.18677587807178497, 0.3878649175167084], [0.2980620563030243, -0.19689376652240753, 0.318586528301239, 0.7059025764465332, 0.7907495498657227, 0.3319510817527771, -0.31839850544929504, -0.15062355995178223, 0.10186375677585602, -0.4977775812149048, 0.027946893125772476, 0.2465267777442932]]","[1.0091885328292847, 0.9999611377716064, 0.9644618630409241]",-0.005160381971945753,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[39, 1913, 48]"
4,12,3,80,12.727124214172363,0.010891745,"[[0.30171188712120056, 0.5817053318023682, 0.3920310437679291, 0.05916444957256317, 0.11751165986061096, -0.053353287279605865, -0.08602065593004227, 0.16373923420906067, 0.11538204550743103, -0.06793639808893204, 0.22966444492340088, 0.5328723788261414], [0.3329061269760132, 0.333699107170105, 0.3333655297756195, 0.3327152729034424, 0.426673024892807, 0.11057829856872559, -0.18987974524497986, 0.011269897222518921, 0.1176607683300972, -0.23681408166885376, 0.18724611401557922, 0.389313668012619], [0.29591965675354004, -0.19737645983695984, 0.3210883140563965, 0.7055048942565918, 0.7898751497268677, 0.33107465505599976, -0.31743118166923523, -0.1492367535829544, 0.10152484476566315, -0.49829789996147156, 0.028194734826683998, 0.24826288223266602]]","[1.0091444253921509, 0.9999732971191406, 0.9644644260406494]",-0.005092537726159208,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[53, 1894, 53]"
4,12,3,85,10.7700834274292,0.00454043,"[[0.3022521436214447, 0.5835686922073364, 0.3925671875476837, 0.057714708149433136, 0.11662489175796509, -0.05420598387718201, -0.08557754755020142, 0.1646163910627365, 0.11541423201560974, -0.0679650753736496, 0.2301805168390274, 0.5346348285675049], [0.33394548296928406, 0.3337486684322357, 0.3324844539165497, 0.3326810896396637, 0.4263879656791687, 0.11036325991153717, -0.18981367349624634, 0.010622724890708923, 0.11753468960523605, -0.23730973899364471, 0.18737664818763733, 0.38917356729507446], [0.2992474138736725, -0.1947660744190216, 0.3174106180667877, 0.705052375793457, 0.7876777648925781, 0.33011627197265625, -0.3174624443054199, -0.15186214447021484, 0.10159007459878922, -0.49702543020248413, 0.02939252369105816, 0.2455490231513977]]","[1.0090432167053223, 0.9999570846557617, 0.9644344449043274]",-0.005134489392949035,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[31, 1925, 44]"
4,12,3,90,9.663956642150879,0.008001503,"[[0.30333948135375977, 0.5839571952819824, 0.39131104946136475, 0.058105356991291046, 0.11712752282619476, -0.054212890565395355, -0.08601487427949905, 0.16378921270370483, 0.11553987115621567, -0.06868910044431686, 0.23017925024032593, 0.5343107581138611], [0.3341449499130249, 0.3329530358314514, 0.33229708671569824, 0.3339915871620178, 0.4280224144458771, 0.11089950799942017, -0.19022178649902344, 0.00995434820652008, 0.11749480664730072, -0.2388475239276886, 0.18745389580726624, 0.3889237344264984], [0.2990978956222534, -0.1950000524520874, 0.31862032413482666, 0.7056658267974854, 0.7878477573394775, 0.3300291895866394, -0.31740397214889526, -0.1518675833940506, 0.1014789417386055, -0.4979410767555237, 0.029835306107997894, 0.24595893919467926]]","[1.0090101957321167, 0.999949038028717, 0.9644168019294739]",-0.005099738488497678,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[19, 1939, 42]"
4,12,3,95,12.837874412536621,0.009475267,"[[0.3036697804927826, 0.5845040678977966, 0.3910369277000427, 0.05736299604177475, 0.11672993004322052, -0.054644759744405746, -0.08574942499399185, 0.16406187415122986, 0.11544181406497955, -0.06884163618087769, 0.23022809624671936, 0.5348705053329468], [0.33351826667785645, 0.3337363600730896, 0.33299118280410767, 0.3326575458049774, 0.42700353264808655, 0.11004950106143951, -0.18939653038978577, 0.011084839701652527, 0.11723755300045013, -0.23874691128730774, 0.18773770332336426, 0.39015671610832214], [0.2980532646179199, -0.19561831653118134, 0.31999340653419495, 0.7054969668388367, 0.7874041795730591, 0.3295792043209076, -0.31680500507354736, -0.1510772705078125, 0.10115454345941544, -0.49834322929382324, 0.02992558293044567, 0.2468855232000351]]","[1.0090278387069702, 0.999984622001648, 0.9644216299057007]",-0.005043369609920773,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[31, 1914, 55]"
4,12,3,99,9.645343780517578,0.0034665125,"[[0.30264854431152344, 0.5861120223999023, 0.3924131989479065, 0.0561472624540329, 0.11638499796390533, -0.05540606379508972, -0.08514866977930069, 0.1656208038330078, 0.11545281112194061, -0.06891141831874847, 0.23074012994766235, 0.5368422865867615], [0.3335830867290497, 0.3335111737251282, 0.3328118622303009, 0.33301693201065063, 0.4275139570236206, 0.11014299094676971, -0.18943428993225098, 0.010870799422264099, 0.11716778576374054, -0.23944707214832306, 0.18780502676963806, 0.3901582658290863], [0.30082663893699646, -0.19382978975772858, 0.3171350657939911, 0.7053585052490234, 0.7861417531967163, 0.3291773498058319, -0.3170562982559204, -0.1531887948513031, 0.10124202072620392, -0.49761366844177246, 0.03074202500283718, 0.2446192055940628]]","[1.0089290142059326, 0.9999508261680603, 0.964393675327301]",-0.005104556732258061,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[14, 1946, 40]"
